Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
44.58333333,<music21.chord.Chord F#4 F#5 F3 C#4 C#3>,"[0, 4, 5]","[1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
44.625,<music21.chord.Chord B4 F#3 B3 E-3>,"[0, 4, 7]","[11, 3, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
45.125,<music21.chord.Chord B4 F3 B3 C#3>,"[0, 2, 6]","[11, 1, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
45.625,<music21.chord.Chord F#4 F#5 B3 B2 E-3>,"[0, 4, 7]","[11, 3, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
46.125,<music21.chord.Chord F#4 F#5 F3 B3 C#3>,"[0, 2, 6, 7]","[11, 1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
46.625,<music21.chord.Chord F#4 F#5 F#3 B3 E-3>,"[0, 4, 7]","[11, 3, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
47.125,<music21.chord.Chord F#4 F#5 F3 B3 C#3>,"[0, 2, 6, 7]","[11, 1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
47.625,<music21.chord.Chord G#4 G#5 F3 B3 C#3>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
48.125,<music21.chord.Chord G#4 G#5 B3 B2 E-3>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
48.625,<music21.chord.Chord B-4 B-5 B-3 B-2>,[0],[10],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
49.125,<music21.chord.Chord B-4 B-5 B-3 E-4 F#4>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
49.625,<music21.chord.Chord B-4 B-5 B-3 E-4 F#4>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
50.125,<music21.chord.Chord B-4 B-5 G#3 B-3 F4>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
50.625,<music21.chord.Chord B-4 B-5 G#3 B-3 F4>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
51.125,<music21.chord.Chord B-4 B-5 F#3 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
51.625,<music21.chord.Chord B-4 B-5 F#3 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
52.125,<music21.chord.Chord B-4 B-5 G#3 B-3 F4>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
52.625,<music21.chord.Chord B-4 B-5 G#3 B-3 F4>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
53.125,<music21.chord.Chord B-4 B-5 F#3 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
53.625,<music21.chord.Chord B-4 B-5 F#3 B-3 E-3>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
54.125,<music21.chord.Chord B-4 B-5 F3 G#3 B2>,"[0, 3, 5, 6]","[5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
54.625,<music21.chord.Chord B-4 B-5 F3 G#3 B-2>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
55.125,<music21.chord.Chord B-4 B-5 F#3 B-2 E-3>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
55.625,<music21.chord.Chord B-4 B-5 F#3 B-2 E-3>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
56.125,<music21.chord.Chord B-4 B-5 F3 B-2 D3>,"[0, 4, 7]","[10, 2, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
56.625,<music21.chord.Chord B-4 E-5 F#5 E-2 E-3>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
57.125,<music21.chord.Chord B-4 F5 G#5 E-2 E-3>,"[0, 2, 5, 7]","[3, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
57.625,<music21.chord.Chord B-4 F#5 B-5 B-3>,"[0, 4]","[6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
58.125,<music21.chord.Chord B-4 F5 G#5 B-3>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
58.625,<music21.chord.Chord B-4 E-5 F#5 B-3>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
